folder,table,sheet,rows,n_columns,columns
data,animation_loop_data,digimon,16,59,id|anim01_name|anim01_frames|anim02_name|anim02_frames|anim03_name|anim03_frames|anim04_name|anim04_frames|anim05_name|anim05_frames|anim06_name|anim06_frames|anim07_name|anim07_frames|anim08_name|anim08_frames|anim09_name|anim09_frames|anim10_name|anim10_frames|anim11_name|anim11_frames|anim12_name|anim12_frames|anim13_name|anim13_frames|anim14_name|anim14_frames|anim15_name|anim15_frames|anim16_name|anim16_frames|anim17_name|anim18_frames|anim19_name|anim19_frames|anim20_name|anim20_frames|anim21_name|anim21_frames|anim22_name|anim22_frames|anim23_name|anim23_frames|anim24_name|anim24_frames|anim25_name|anim25_frames|anim26_name|anim26_frames|anim27_name|anim27_frames|anim28_name|anim28_frames|anim29_name|anim29_frames|anim30_name|anim30_frames
data,animation_loop_data,mob,11,59,id|anim01_name|anim01_frames|anim02_name|anim02_frames|anim03_name|anim03_frames|anim04_name|anim04_frames|anim05_name|anim05_frames|anim06_name|anim06_frames|anim07_name|anim07_frames|anim08_name|anim08_frames|anim09_name|anim09_frames|anim10_name|anim10_frames|anim11_name|anim11_frames|anim12_name|anim12_frames|anim13_name|anim13_frames|anim14_name|anim14_frames|anim15_name|anim15_frames|anim16_name|anim16_frames|anim17_name|anim18_frames|anim19_name|anim19_frames|anim20_name|anim20_frames|anim21_name|anim21_frames|anim22_name|anim22_frames|anim23_name|anim23_frames|anim24_name|anim24_frames|anim25_name|anim25_frames|anim26_name|anim26_frames|anim27_name|anim27_frames|anim28_name|anim28_frames|anim29_name|anim29_frames|anim30_name|anim30_frames
data,animation_loop_data,npc,23,59,id|anim01_name|anim01_frames|anim02_name|anim02_frames|anim03_name|anim03_frames|anim04_name|anim04_frames|anim05_name|anim05_frames|anim06_name|anim06_frames|anim07_name|anim07_frames|anim08_name|anim08_frames|anim09_name|anim09_frames|anim10_name|anim10_frames|anim11_name|anim11_frames|anim12_name|anim12_frames|anim13_name|anim13_frames|anim14_name|anim14_frames|anim15_name|anim15_frames|anim16_name|anim16_frames|anim17_name|anim18_frames|anim19_name|anim19_frames|anim20_name|anim20_frames|anim21_name|anim21_frames|anim22_name|anim22_frames|anim23_name|anim23_frames|anim24_name|anim24_frames|anim25_name|anim25_frames|anim26_name|anim26_frames|anim27_name|anim27_frames|anim28_name|anim28_frames|anim29_name|anim29_frames|anim30_name|anim30_frames
data,animation_loop_data,pc,3,59,id|anim01_name|anim01_frames|anim02_name|anim02_frames|anim03_name|anim03_frames|anim04_name|anim04_frames|anim05_name|anim05_frames|anim06_name|anim06_frames|anim07_name|anim07_frames|anim08_name|anim08_frames|anim09_name|anim09_frames|anim10_name|anim10_frames|anim11_name|anim11_frames|anim12_name|anim12_frames|anim13_name|anim13_frames|anim14_name|anim14_frames|anim15_name|anim15_frames|anim16_name|anim16_frames|anim17_name|anim18_frames|anim19_name|anim19_frames|anim20_name|anim20_frames|anim21_name|anim21_frames|anim22_name|anim22_frames|anim23_name|anim23_frames|anim24_name|anim24_frames|anim25_name|anim25_frames|anim26_name|anim26_frames|anim27_name|anim27_frames|anim28_name|anim28_frames|anim29_name|anim29_frames|anim30_name|anim30_frames
data,battle_ai,Ai,983,69,id|nameId?|Unk2_1|Unk2_2|Unk3_1|Unk3_2|Unk4_1|Unk4_2|Unk5|Unk6_1|Unk6_2|Unk7_1|Unk7_2|Unk8_1|Unk8:2|Unk9|Unk10_1|Unk10_2|Unk11_1|Unk11_2|Unk12_1|Unk12_2|Unk13|Unk14_1|Unk14_2|Unk15_1|Unk15_2|Unk16_1|Unk16_2|Unk17|Unk18_1|Unk18_2|Unk19_1|Unk19_2|Unk20_1|Unk20_2|Unk21|Unk22_1|Unk22_2|Unk23_1|Unk23_2|Unk24_1|Unk24_2|Unk25|Unk26_1|Unk26_2|Unk27_1|Unk27_2|Unk28_1|Unk28_2|Unk29|Unk30_1|Unk30_2|Unk31_1|Unk31_2|Unk32_1|Unk32_2|Unk33|Unk34_1|Unk34_2|Unk35_1|Unk35_2|Unk36_1|Unk36_2|Unk37|Unk38_1|Unk38_2|Unk39|Unk40
data,battle_bgm,bgm,14,2,ID|Name
data,battle_camera,camera,15,7,ID|Name|unk1|unk3|unk4|unk5|unk6
data,battle_command,Command,931,40,skillID|skillTextId|pad1|Icon|Animation|pad2|Power|DamageType|Unk5_0|Damage Delay|Type|TargetType|NumAttacksMin|NumAttacksMax|Chain Delay|XrosType|Unk10_0|SP Cost|SpeedUse|damageRange|alwaysHits|Accuracy|canCrit|critChance|sacrificeHP|knockbackChance|HPabsorb|SPabsorb|comboRate|pad3|StatusType|StatusEffect|StatusChance|SelfStatusType|SelfStatusEffect|SelfStatusChance|UndoStatus|UndoStatusSelf|PrevAttack|Unk15
data,battle_command_effect,effect,926,8,skillID|casterSkillEffectIDs|unk2|unk3|unk4|unk5|targetSkillEffectIDs|unk7
data,battle_command_effect,item,46,2,unk1|unk2
