name,author,version,category,format_version,n_tables,n_models,n_images,n_scripts,n_other,softcodes,has_modfiles,meta_error,tables,path
,,,,1,0,0,3,0,0,no,yes,"JSONDecodeError: Expecting ',' delimiter: line 3 column 20 (char 49)",,C:\Users\spera\Downloads\digimon\chaos lords\chaos seadramon
,,,,1,0,0,2,0,0,no,yes,"JSONDecodeError: Expecting ',' delimiter: line 3 column 20 (char 49)",,C:\Users\spera\Downloads\digimon\chaos lords\chaosgreymon
,,,,1,0,89,4,0,0,no,yes,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,E:\SteamLibrary\steamapps\common\Digimon Story Cyber Sleuth Complete Edition\SimpleDSCSModManager\mods\nokia - pc backuo
velgmon,,1.0,Digimon,1,0,8,6,0,0,no,yes,,,D:\Mateus\Modding Digimon\velgmon
velgmon,,1.0,Digimon,1,0,8,6,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\velgmon
Yipnos,,,,1,0,11,43,0,0,no,yes,,,D:\Mateus\Modding Digimon\ashy\New folder
Yipnos,,,,1,1,4,42,0,0,no,yes,,model_default_scale/pc,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\ashy
GankoomonX,.,1,New digimon,1,27,41,10,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_support_skill/support_skill|battle_voice/voice|battle_voice_add/voice|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\Mateus\New folder
Chaos Lords,@Mojoceramon aka @HexerVoodoom,0.1,Recolors,1,0,0,7,0,0,no,yes,,,C:\Users\spera\Downloads\digimon\chaos lords\chaos lords
Saberdramon,@Mojoceramon aka @HexerVoodoom,0.1,Recolors,1,1,0,5,0,0,no,yes,,charname/Sheet1,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\saberdramon
Atlur Kabuterimon (blue),@Mojoceramon aka HexerVoodoom,0.1,Recolors,1,0,0,2,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\atlur kabuterimon blue
Chaos Gaiomon,@Mojoceramon aka HexerVoodoom,0.1,Recolors,1,1,0,2,0,0,no,yes,,charname/Sheet1,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\chaos gaioumon
No human face Merukimon,@Mojoceramon aka HexerVoodoom,0.1,Recolors,1,0,0,2,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\merukimon no human face
Ophanimon Core,@Mojoceramon aka HexerVoodoom,0.1,Recolors,1,1,0,3,0,0,no,yes,,charname/Sheet1,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\ophanimon core
Shiny Tyranomon,@Mojoceramon aka HexerVoodoom,0.1,Recolors,1,1,0,3,0,0,no,yes,,charname/Sheet1,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\shiny tyranomon
Ulforce Veedramon Future Mode,@Mojoceramon aka HexerVoodoom,0.1,Recolors,1,1,0,2,0,0,no,yes,,charname/Sheet1,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\ulforce future mode
Ragnaloardmon,Admin,1.0,Digimon,1,25,40,50,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\ragnaloardmon
Proximamon,AlterX,1.0,digimon,1,22,10,6,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\Mateus\Modding Digimon\proximamon
Snimon,burumaru,1.0.0,Digimon,1,24,31,6,0,0,yes,yes,,ZZZbattle_command_effect/effect|ZZZbattle_support_skill/support_skill|ZZZsupport_skill_content_name/Sheet1|ZZZsupport_skill_name/Sheet1|battle_command/Command|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|model_position_offset/offset|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|ui_mon_param_info/Field,D:\Mateus\Snimon
Snimon,burumaru,1.0.0,Digimon,1,24,31,6,0,0,yes,yes,,ZZZbattle_command_effect/effect|ZZZbattle_support_skill/support_skill|ZZZsupport_skill_content_name/Sheet1|ZZZsupport_skill_name/Sheet1|battle_command/Command|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|model_position_offset/offset|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\Snimon
The Four Sovereign Digimon & Fanglongmon,"CHAOS,AlterX,NIUBI,Arbor",1.5,New digimon,1,29,170,43,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_se/se|battle_support_skill/support_skill|battle_voice/voice|battle_voice_add/voice|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|model_position_offset/offset|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\Mateus\Modding Digimon\chaos brach\fullbody\fanglongmon
The Four Sovereign Digimon & Fanglongmon,"CHAOS,AlterX,NIUBI,Arbor",1.5,New digimon,1,29,170,33,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_se/se|battle_support_skill/support_skill|battle_voice/voice|battle_voice_add/voice|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|model_position_offset/offset|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\Mateus\Modding Digimon\chaos brach\fullbody\fanglongmon\New folder
The Four Sovereign Digimon & Fanglongmon,"CHAOS,AlterX,NIUBI,Arbor",1.5,New digimon,1,29,170,34,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_se/se|battle_support_skill/support_skill|battle_voice/voice|battle_voice_add/voice|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|model_position_offset/offset|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\Mateus\ultimatebrachiomon
